Url,Company,Description
https://www.rocketpunch.com//companies/flyhigh#funded,플라이하이,"금융기업의 업무 프로세스 개선과 자동화, 하이퍼스크래핑 등 디지털전환에 필요한 핵심 솔루션과 컨설팅을 제공하는 벤처기업입니다. 2019년 핀테크 우수기업 선정, KB금융지주 ""10-10클럽"" 최초가입 제1호 벤처기업"
https://www.rocketpunch.com//companies/wiseapp#funded,WISEAPP/WISERETAIL,앱과 리테일에 대한 모든것
https://www.rocketpunch.com//companies/opstin#funded,옵스틴,"시니어 반려동물을 위한 제품, 서비스"
https://www.rocketpunch.com//companies/eediom#funded,이디엄,"빅데이터 수집/분석 플랫폼 기술을 기반으로, 다양한 비즈니스 이노베이션 모델을 제시합니다."
https://www.rocketpunch.com//companies/subeokis#funded,수버킷,
https://www.rocketpunch.com//companies/hogyster#funded,호기스터,SelectChu (라이브 소셜 커머스). 가상이 현실로 되는 세상.
https://www.rocketpunch.com//companies/baconcompany#funded,베이컨컴퍼니,브랜드 커머스를 세상에서 제일 잘하는 회사가 되려고 합니다.
https://www.rocketpunch.com//companies/paper-hub#funded,페이퍼허브,해외 학술논문 큐레이팅 서비스
https://www.rocketpunch.com//companies/seeso#funded,시소,"아웃소싱을 넘어서, 미래의 ‘일’을 만듭니다."
https://www.rocketpunch.com//companies/huckleberrypin#funded,허클베리핀,삶의 짧은 쉼이 필요한 사람들을 위한; 소셜벤처 허클베리핀이 만들어 가는 쉼표;
https://www.rocketpunch.com//companies/editcollective#funded,(주)에디트콜렉티브,"부동산 개발 프로젝트의 사업성을 검토하는 웹서비스 ""Flexity""(플렉시티)를 만듭니다."
https://www.rocketpunch.com//companies/ju-keuregsiseu#funded,크렉시스,미국 K-GOOD 이커머스
https://www.rocketpunch.com//companies/ax#funded,액스,투어/액티비티 예약관리 프로그램
https://www.rocketpunch.com//companies/simpleprojectco#funded,심플프로젝트컴퍼니,"심플프로젝트컴퍼니는 공유경제형 외식창업 플랫폼, 공유주방 WECOOK을 운영하고 있습니다 :-)"
https://www.rocketpunch.com//companies/blueprint-lab#funded,블루프린트랩,얼굴인식과 AI기술을 사용한 제품 추천 및 가상 피팅 서비스를 제공하고 있습니다.
https://www.rocketpunch.com//companies/bhaptics#funded,(주)비햅틱스,http://www.bhaptics.com
https://www.rocketpunch.com//companies/musma#funded,(주)무스마,Smarter Industrial IoT Solution Provider
https://www.rocketpunch.com//companies/lineup#funded,라인업,창작자들을 위한 이미지형 SNS 서비스 입니다.
https://www.rocketpunch.com//companies/otheon#funded,오더온,"오픈웹페이지 기반(디지털 콘텐츠)의 통합 마케팅 플랫폼, 중소상공인 통합지원플랫폼"
https://www.rocketpunch.com//companies/superb_ai#funded,슈퍼브에이아이,Empower Humans - 인간의 역량을 향상시키는 AI를 만듭니다.
https://www.rocketpunch.com//companies/myro#funded,미로,국내최초 데일리 마감할인 플랫폼 라스트오더를 운영하고 있습니다
https://www.rocketpunch.com//companies/ygpartnersadvisory#funded,와이지파트너스앤어드바이저리,대한민국 크라우드소싱 플랫폼
https://www.rocketpunch.com//companies/ismapeul#funded,주식회사 잇마플,데이터를 기반으로 만성질환자들의 식사요법을 책임지는 기업
https://www.rocketpunch.com//companies/vaultrust#funded,볼트러스트,암호화폐 Custody Business를 준비하고 있는 Start-up
https://www.rocketpunch.com//companies/yplabs#funded,와이피랩스 주식회사,"온디맨드 소셜 통화 서비스, ""커넥팅""을 개발하고 있습니다"
https://www.rocketpunch.com//companies/curaum#funded,(주)큐라움,"CURAUM : ""구강으로 건강하자!!"" 모두가 건강한 삶을 살 수 있도록"
https://www.rocketpunch.com//companies/middlestudio#funded,미들스튜디오,한국 전통 문화 플랫폼 ‘취 프로젝트’를 운영하고 있습니다.
https://www.rocketpunch.com//companies/lycanthrope#funded,라이칸스로프,프리전압충전기 기술개발 기업 (한 어댑터로 모든 전자제품을 충전)
https://www.rocketpunch.com//companies/bemypet#funded,비마이펫,"반려동물 교감 라이프, 비마이펫"
https://www.rocketpunch.com//companies/harinio#funded,트렌비,전세계 가격표를 찾아내는 #명품계의스카이스캐너 #프리미엄소셜스토어 #패션테크스타트업
https://www.rocketpunch.com//companies/mom-sitter#funded,맘편한세상,대한민국에서 육아문제를 가장 빠르게 해결하고 있는 스타트업
https://www.rocketpunch.com//companies/bigradar#funded,빅레이더,새로운 즐거움을 선보입니다.
https://www.rocketpunch.com//companies/ju-dipain#funded,(주)디파인,make business SMART
https://www.rocketpunch.com//companies/affix#funded,어픽스,땡큐마켓 - 이제 편하게 중고거래 해요
https://www.rocketpunch.com//companies/carrotins#funded,캐롯주식회사,"한화손해보험, SKT, 현대자동차, 알토스벤쳐스가 함께 만드는 국내 최초의 인터넷 전업 손해보험사"
